대여일시,대여건수
2023-01-01,"38,037"
2023-01-02,"56,609"
2023-01-03,"61,252"
2023-01-04,"67,721"
2023-01-05,"68,711"
2023-01-06,"63,125"
2023-01-07,"42,492"
2023-01-08,"44,620"
2023-01-09,"74,134"
2023-01-10,"80,604"
2023-01-11,"81,988"
2023-01-12,"87,595"
2023-01-13,"20,792"
2023-01-14,"25,896"
2023-01-15,"21,415"
2023-01-16,"61,311"
2023-01-17,"67,337"
2023-01-18,"71,361"
2023-01-19,"68,359"
2023-01-20,"51,398"
2023-01-21,"30,226"
2023-01-22,"22,752"
2023-01-23,"30,880"
2023-01-24,"15,265"
2023-01-25,"38,329"
2023-01-26,"24,340"
2023-01-27,"40,221"
2023-01-28,"35,890"
2023-01-29,"38,347"
2023-01-30,"65,611"
2023-01-31,"74,828"
2023-02-01,"72,476"
2023-02-02,"70,755"
2023-02-03,"72,693"
2023-02-04,"57,939"
2023-02-05,"53,806"
2023-02-06,"81,306"
2023-02-07,"86,528"
2023-02-08,"86,848"
2023-02-09,"89,612"
2023-02-10,"68,845"
2023-02-11,"70,625"
2023-02-12,"60,692"
2023-02-13,"91,952"
2023-02-14,"89,966"
2023-02-15,"94,666"
2023-02-16,"87,394"
2023-02-17,"95,472"
2023-02-18,"72,419"
2023-02-19,"57,600"
2023-02-20,"75,725"
2023-02-21,"81,584"
2023-02-22,"90,322"
2023-02-23,"94,719"
2023-02-24,"92,586"
2023-02-25,"68,023"
2023-02-26,"66,858"
2023-02-27,"97,898"
2023-02-28,"102,196"
2023-03-01,"79,638"
2023-03-02,"95,453"
2023-03-03,"107,215"
2023-03-04,"97,286"
2023-03-05,"95,137"
2023-03-06,"121,403"
2023-03-07,"132,494"
2023-03-08,"126,428"
2023-03-09,"109,299"
2023-03-10,"138,823"
2023-03-11,"129,567"
2023-03-12,"40,919"
2023-03-13,"103,769"
2023-03-14,"130,020"
2023-03-15,"123,017"
2023-03-16,"118,553"
2023-03-17,"128,106"
2023-03-18,"114,617"
2023-03-19,"110,627"
2023-03-20,"131,591"
2023-03-21,"150,433"
2023-03-22,"154,551"
2023-03-23,"146,757"
2023-03-24,"149,034"
2023-03-25,"136,959"
2023-03-26,"121,288"
2023-03-27,"137,985"
2023-03-28,"151,848"
2023-03-29,"161,395"
2023-03-30,"167,433"
2023-03-31,"173,890"
2023-04-01,"171,977"
2023-04-02,"172,417"
2023-04-03,"181,275"
2023-04-04,"136,861"
2023-04-05,"23,103"
2023-04-06,"62,143"
2023-04-07,"140,643"
2023-04-08,"131,981"
2023-04-09,"131,332"
2023-04-10,"163,117"
2023-04-11,"105,357"
2023-04-12,"143,620"
2023-04-13,"148,980"
2023-04-14,"167,790"
