,date,count,avg_temperature,avg_humidity,solar_radiation
0,2023-01-01,38037,-0.2,54.5,10.81
1,2023-01-02,56609,-4.5,45.9,11.63
2,2023-01-03,61252,-5.0,49.0,11.77
3,2023-01-04,67721,-1.8,51.4,10.89
4,2023-01-05,68711,-1.6,58.1,6.09
5,2023-01-06,63125,0.6,71.9,8.78
6,2023-01-07,42492,1.5,80.9,4.78
7,2023-01-08,44620,1.3,69.3,9.37
8,2023-01-09,74134,3.1,60.1,10.53
9,2023-01-10,80604,1.6,59.9,11.33
10,2023-01-11,81988,2.6,61.9,10.86
11,2023-01-12,87595,5.9,46.6,10.88
12,2023-01-13,20792,8.3,99.1,1.11
13,2023-01-14,25896,6.6,92.9,1.84
14,2023-01-15,21415,-0.2,93.9,1.32
15,2023-01-16,61311,-4.6,63.1,12.95
16,2023-01-17,67337,-3.7,65.1,5.27
17,2023-01-18,71361,-1.9,60.5,12.71
18,2023-01-19,68359,-0.4,69.3,7.63
19,2023-01-20,51398,-3.3,52.4,13.49
20,2023-01-21,30226,-4.5,55.4,12.37
21,2023-01-22,22752,-0.6,62.8,4.41
22,2023-01-23,30880,-0.8,66.6,10.15
23,2023-01-24,15265,-14.7,51.9,14.08
24,2023-01-25,38329,-11.3,45.1,14.08
25,2023-01-26,24340,-6.0,80.1,4.51
26,2023-01-27,40221,-7.3,56.5,14.1
27,2023-01-28,35890,-6.0,54.9,12.58
28,2023-01-29,38347,-1.8,58.3,9.79
29,2023-01-30,65611,-0.9,55.9,14.17
30,2023-01-31,74828,2.4,69.1,6.5
31,2023-02-01,72476,0.9,68.4,13.24
32,2023-02-02,70755,-2.4,50.3,10.94
33,2023-02-03,72693,-1.6,47.4,13.54
34,2023-02-04,57939,-0.2,49.8,13.23
35,2023-02-05,53806,1.7,71.0,11.35
36,2023-02-06,81306,3.0,72.3,10.69
37,2023-02-07,86528,3.5,72.9,10.12
38,2023-02-08,86848,2.1,62.1,14.82
39,2023-02-09,89612,4.0,49.9,12.36
40,2023-02-10,68845,3.8,79.6,7.07
41,2023-02-11,70625,2.8,73.0,10.9
42,2023-02-12,60692,3.7,70.0,8.48
43,2023-02-13,91952,5.9,66.5,5.44
44,2023-02-14,89966,1.7,54.9,15.95
45,2023-02-15,94666,3.2,46.4,15.24
46,2023-02-16,87394,2.3,68.3,6.45
47,2023-02-17,95472,3.4,67.8,13.67
48,2023-02-18,72419,5.7,58.3,2.91
49,2023-02-19,57600,3.5,56.1,14.47
50,2023-02-20,75725,-0.5,46.4,18.16
51,2023-02-21,81584,-1.3,42.4,18.25
52,2023-02-22,90322,1.2,50.6,17.0
53,2023-02-23,94719,2.9,65.5,15.87
54,2023-02-24,92586,3.5,57.9,17.42
55,2023-02-25,68023,0.7,44.0,18.6
56,2023-02-26,66858,2.2,46.6,18.83
57,2023-02-27,97898,4.4,47.4,18.65
58,2023-02-28,102196,4.3,63.4,10.26
59,2023-03-01,79638,6.0,54.4,10.19
60,2023-03-02,95453,2.2,37.8,19.45
61,2023-03-03,107215,4.6,65.0,15.67
62,2023-03-04,97286,7.7,68.4,14.91
63,2023-03-05,95137,8.0,54.0,17.21
64,2023-03-06,121403,9.2,41.9,18.63
65,2023-03-07,132494,11.7,60.9,15.35
66,2023-03-08,126428,12.5,66.3,8.39
67,2023-03-09,109299,10.3,85.9,6.52
68,2023-03-10,138823,13.5,62.1,17.03
69,2023-03-11,129567,15.2,52.0,16.95
70,2023-03-12,40919,5.9,68.0,3.68
71,2023-03-13,103769,2.9,38.9,20.79
72,2023-03-14,130020,9.2,45.9,19.73
73,2023-03-15,123017,8.6,66.6,5.62
74,2023-03-16,118553,4.6,36.8,18.09
75,2023-03-17,128106,7.2,34.3,13.94
76,2023-03-18,114617,7.7,46.4,19.07
77,2023-03-19,110627,8.3,59.6,21.25
78,2023-03-20,131591,9.5,50.4,20.06
79,2023-03-21,150433,13.0,35.1,21.6
80,2023-03-22,154551,17.0,44.8,16.64
81,2023-03-23,146757,17.4,48.9,14.5
82,2023-03-24,149034,12.5,36.8,16.13
83,2023-03-25,136959,12.5,59.9,15.13
84,2023-03-26,121288,9.4,34.0,24.36
85,2023-03-27,137985,7.3,44.8,22.88
86,2023-03-28,151848,9.2,53.3,18.44
87,2023-03-29,161395,11.8,50.3,21.79
88,2023-03-30,167433,13.3,42.5,23.58
89,2023-03-31,173890,15.0,42.5,22.99
90,2023-04-01,171977,17.5,40.4,21.48
91,2023-04-02,172417,18.8,29.6,24.08
92,2023-04-03,181275,19.0,29.4,22.95
93,2023-04-04,136861,17.6,40.4,10.78
94,2023-04-05,23103,11.9,97.8,1.56
95,2023-04-06,62143,8.8,94.6,2.15
96,2023-04-07,140643,8.9,65.0,23.34
97,2023-04-08,131981,8.8,51.1,25.74
98,2023-04-09,131332,10.8,56.8,25.54
99,2023-04-10,163117,13.2,50.8,22.29
100,2023-04-11,105357,13.1,73.4,2.01
101,2023-04-12,143620,10.1,45.1,24.87
102,2023-04-13,148980,11.9,45.0,16.17
103,2023-04-14,167790,16.2,58.6,14.25
104,2023-04-15,97305,13.5,81.8,9.5
105,2023-04-16,112187,10.8,71.4,14.45
106,2023-04-17,160891,13.1,59.0,17.76
107,2023-04-18,106064,14.0,78.6,10.85
108,2023-04-19,180747,19.1,66.1,27.82
109,2023-04-20,150795,15.8,92.1,4.12
110,2023-04-21,177951,16.7,50.4,21.05
111,2023-04-22,158022,16.9,25.350000000000012,21.2
112,2023-04-23,140444,16.1,34.1,19.47
113,2023-04-24,170623,15.8,40.5,20.31
114,2023-04-25,88208,10.9,68.6,5.22
115,2023-04-26,153562,10.2,69.9,15.52
116,2023-04-27,174520,12.9,61.6,26.55
117,2023-04-28,165729,15.7,62.0,21.25
118,2023-04-29,51329,13.2,88.1,6.04
119,2023-04-30,113123,12.7,72.9,19.71
120,2023-05-01,169163,14.6,57.0,26.8
121,2023-05-02,181358,16.7,40.5,21.58
122,2023-05-03,191700,19.5,52.5,26.2
123,2023-05-04,177946,21.4,65.5,16.89
124,2023-05-05,15582,18.4,95.3,1.74
125,2023-05-06,38108,12.6,85.6,5.42
126,2023-05-07,122748,14.4,47.1,12.18
127,2023-05-08,178650,15.3,55.3,28.55
128,2023-05-09,186373,17.0,55.4,28.29
129,2023-05-10,188820,18.4,53.3,25.58
130,2023-05-11,188666,19.5,50.1,27.64
131,2023-05-12,191294,18.4,50.9,19.9
132,2023-05-13,164530,17.8,62.0,23.86
133,2023-05-14,159839,18.1,56.5,25.41
134,2023-05-15,191110,20.6,54.6,26.49
135,2023-05-16,191713,24.0,51.9,27.62
136,2023-05-17,193524,23.5,63.6,27.59
137,2023-05-18,175236,21.2,74.8,13.7
138,2023-05-19,200052,22.3,61.4,25.57
139,2023-05-20,170201,21.2,66.9,25.72
140,2023-05-21,146665,17.8,74.0,20.72
141,2023-05-22,178834,20.3,61.3,23.93
142,2023-05-23,199093,20.5,48.0,29.85
143,2023-05-24,197705,20.6,49.8,19.16
144,2023-05-25,194905,21.2,46.6,27.9
145,2023-05-26,195431,21.4,57.4,26.25
146,2023-05-27,31642,19.3,87.4,3.13
147,2023-05-28,4992,19.2,98.9,2.46
148,2023-05-29,142076,23.2,83.4,15.87
149,2023-05-30,188617,24.0,69.5,18.2
150,2023-05-31,196321,22.8,60.8,23.98
151,2023-06-01,199164,22.8,66.9,15.18
152,2023-06-02,201999,20.4,77.4,14.24
153,2023-06-03,170766,22.0,60.1,31.19
154,2023-06-04,155376,22.1,61.0,28.74
155,2023-06-05,194306,21.5,66.9,26.6
156,2023-06-06,167366,20.3,72.9,21.98
157,2023-06-07,196585,21.4,75.3,10.07
158,2023-06-08,169188,20.4,80.5,10.19
159,2023-06-09,193084,23.3,64.0,28.15
160,2023-06-10,141922,23.2,70.0,18.18
161,2023-06-11,131271,22.1,76.1,21.1
162,2023-06-12,183371,22.2,70.5,19.9
163,2023-06-13,203584,22.0,70.0,25.43
164,2023-06-14,189563,20.6,80.3,13.12
165,2023-06-15,199265,22.7,70.8,25.05
166,2023-06-16,200404,23.7,64.4,29.89
167,2023-06-17,164879,24.2,57.1,27.4
168,2023-06-18,140332,25.9,60.5,28.79
169,2023-06-19,181878,28.5,57.8,25.29
170,2023-06-20,161787,24.7,64.5,5.89
171,2023-06-21,93551,20.5,92.6,4.79
172,2023-06-22,192382,22.5,77.1,21.48
173,2023-06-23,196517,24.4,76.6,18.74
174,2023-06-24,155928,26.4,70.5,21.93
175,2023-06-25,133566,28.2,64.9,23.62
176,2023-06-26,59288,24.2,88.6,3.39
177,2023-06-27,179792,25.3,73.1,20.95
178,2023-06-28,185929,26.5,77.4,18.56
179,2023-06-29,35326,24.2,95.4,2.31
180,2023-06-30,155252,25.3,89.8,10.02
181,2023-07-01,138848,27.7,76.9,29.21
182,2023-07-02,132519,26.7,79.5,19.16
183,2023-07-03,171026,29.1,72.0,25.34
184,2023-07-04,79773,26.1,86.8,6.08
185,2023-07-05,171939,24.5,82.6,19.96
186,2023-07-06,185517,27.3,70.9,25.47
187,2023-07-07,191206,26.7,64.9,23.96
188,2023-07-08,154423,25.6,76.5,13.93
189,2023-07-09,81833,24.7,86.4,8.07
190,2023-07-10,159154,26.3,80.4,18.41
191,2023-07-11,56819,23.5,92.4,2.21
192,2023-07-12,168418,25.8,86.4,12.34
193,2023-07-13,41165,25.2,95.0,2.63
194,2023-07-14,24226,24.6,99.1,1.52
195,2023-07-15,69393,24.5,93.5,3.16
196,2023-07-16,93350,24.6,89.5,5.31
197,2023-07-17,147346,25.5,86.1,10.78
198,2023-07-18,118187,25.2,87.9,7.94
199,2023-07-19,173226,27.2,78.8,26.41
200,2023-07-20,169877,27.9,74.0,24.17
201,2023-07-21,160865,29.5,69.6,23.64
202,2023-07-22,84758,27.7,73.9,17.66
203,2023-07-23,31837,25.2,94.3,2.37
204,2023-07-24,161070,26.9,83.1,14.08
205,2023-07-25,158705,27.8,80.5,16.84
206,2023-07-26,146479,27.6,80.9,15.79
207,2023-07-27,159895,28.4,78.1,18.25
208,2023-07-28,153268,29.5,72.4,23.36
209,2023-07-29,119933,29.1,72.1,18.5
210,2023-07-30,81868,28.8,72.5,21.99
211,2023-07-31,145077,28.7,76.3,20.26
212,2023-08-01,152764,29.9,71.6,21.25
213,2023-08-02,153384,29.7,67.8,24.81
214,2023-08-03,152246,29.5,67.0,25.4
215,2023-08-04,147761,30.0,67.6,23.13
216,2023-08-05,112326,30.3,69.0,27.31
217,2023-08-06,96077,29.8,76.5,12.95
218,2023-08-07,145554,30.4,68.4,15.83
219,2023-08-08,153593,30.9,60.5,23.96
220,2023-08-09,155572,28.3,67.6,13.66
221,2023-08-10,9333,22.2,91.9,2.42
222,2023-08-11,47228,23.5,93.1,3.94
223,2023-08-12,102782,23.3,91.0,4.19
224,2023-08-13,119034,27.0,76.9,17.49
225,2023-08-14,156353,28.1,75.4,13.71
226,2023-08-15,132095,28.6,71.4,21.84
227,2023-08-16,169885,27.3,72.0,15.46
228,2023-08-17,170943,28.2,73.0,18.24
229,2023-08-18,161698,29.1,72.1,19.56
230,2023-08-19,134303,29.1,68.9,21.24
231,2023-08-20,122592,28.3,71.8,15.87
232,2023-08-21,163981,29.5,69.8,19.04
233,2023-08-22,101681,27.6,80.3,10.5
234,2023-08-23,57844,24.8,91.3,3.33
235,2023-08-24,148749,25.1,84.8,12.56
236,2023-08-25,173593,26.5,77.9,20.42
237,2023-08-26,149424,26.4,72.3,19.84
238,2023-08-27,126015,26.1,75.0,12.0
239,2023-08-28,66917,22.7,87.5,3.99
240,2023-08-29,63964,23.9,89.6,2.87
241,2023-08-30,100739,22.8,88.0,4.42
242,2023-08-31,187063,23.9,76.9,18.53
243,2023-09-01,196234,24.5,70.6,24.59
244,2023-09-02,167368,25.4,63.9,23.72
245,2023-09-03,136338,25.8,77.8,12.19
246,2023-09-04,178038,27.0,79.9,10.24
247,2023-09-05,174696,28.5,69.5,19.14
248,2023-09-06,187670,27.9,65.1,22.64
249,2023-09-07,131889,26.3,54.8,24.56
250,2023-09-08,196674,25.3,60.3,24.13
251,2023-09-09,167334,25.8,66.3,22.64
252,2023-09-10,153532,25.7,68.1,14.57
253,2023-09-11,199362,25.5,67.3,14.79
254,2023-09-12,201165,25.7,69.8,12.52
255,2023-09-13,53263,22.1,84.5,3.35
256,2023-09-14,194667,23.4,72.4,13.7
257,2023-09-15,116772,22.3,82.3,5.35
258,2023-09-16,94644,23.9,87.8,6.3
259,2023-09-17,135100,24.7,84.8,12.49
260,2023-09-18,200344,24.7,79.1,13.83
